0,1,2,3,4,5,6,7,source_file
Day,Min Temp o 0,Max Temp 0,Humidity ojo,"Wind m/s
:selected:",Sun hours,Rad MJ/m2 / day,ETo mm/ day,1992 ETo April.pdf
1,19.7,38.0,23,3.4,12.2,28.2,9.38,1992 ETo April.pdf
2,20.9,37.8,24,3.0,12.2,28.2,8.89,1992 ETo April.pdf
3,19.0,38.2,21,2.8,12.2,28.2,8.71,1992 ETo April.pdf
4,18.7,38.0,29,1.2,12.2,28.3,6.43,1992 ETo April.pdf
5,18.9,37.5,26,1.8,12.2,28.3,7.23,1992 ETo April.pdf
6,20.1,38.1,31,2.3,12.2,28.3,7.91,1992 ETo April.pdf
7,19.4,39.1,26,1.8,12.2,28.3,7.42,1992 ETo April.pdf
8,22.4,39.8,28,1.6,12.2,28.3,7.28,1992 ETo April.pdf
9,23.1,39.8,26,2.7,12.2,28.3,8.85,1992 ETo April.pdf
10,24.5,40.3,32,2.0,12.2,28.3,7.94,1992 ETo April.pdf
11,23.4,39.4,30,2.0,12.2,28.3,7.82,1992 ETo April.pdf
12,22.7,38.9,22,3.2,12.2,28.4,9.47,1992 ETo April.pdf
13,20.7,39.6,25,3.8,12.3,28.5,10.16,1992 ETo April.pdf
14,19.8,38.8,24,3.6,12.3,28.5,9.81,1992 ETo April.pdf
15,19.7,39.4,23,2.5,12.3,28.5,8.52,1992 ETo April.pdf
16,19.6,39.3,31,2.9,12.3,28.5,8.83,1992 ETo April.pdf
17,21.7,39.5,36,2.4,12.3,28.5,8.20,1992 ETo April.pdf
18,24.9,38.6,45,1.8,12.3,28.5,7.41,1992 ETo April.pdf
19,24.6,36.7,55,2.4,12.3,28.5,7.46,1992 ETo April.pdf
20,21.5,35.6,39,2.8,12.3,28.5,8.01,1992 ETo April.pdf
21,21.7,38.1,36,2.0,12.3,28.5,7.59,1992 ETo April.pdf
22,21.3,38.3,34,1.9,12.3,28.5,7.51,1992 ETo April.pdf
23,21.9,38.1,32,1.8,12.3,28.5,7.40,1992 ETo April.pdf
24,22.2,37.9,41,2.3,12.3,28.5,7.81,1992 ETo April.pdf
25,23.2,37.1,46,2.8,12.3,28.5,8.04,1992 ETo April.pdf
26,23.8,35.8,45,2.5,12.3,28.5,7.68,1992 ETo April.pdf
27,23.2,35.4,45,1.7,12.3,28.5,6.91,1992 ETo April.pdf
28,21.9,35.1,59,1.8,12.3,28.5,6.68,1992 ETo April.pdf
29,21.5,33.6,52,1.6,12.4,28.6,6.50,1992 ETo April.pdf
30,20.6,35.6,48,2.1,12.4,28.6,7.14,1992 ETo April.pdf
31,,,,,,,,1992 ETo April.pdf
Average,21.6,37.9,34,2.3,12.3,28.4,7.97,1992 ETo April.pdf
Day,Min Temp o 0,Max Temp o 0,Humidity olo,"Wind m/s
:selected:",Sun hours,Rad MJ/m2 / day,ETo mm/ day,1992 ETo Aug.pdf
1,19.1,28.8,78,4.9,12.4,28.3,5.67,1992 ETo Aug.pdf
2,19.2,26.8,79,5.0,12.4,28.3,5.33,1992 ETo Aug.pdf
3,18.8,28.7,78,4.4,12.4,28.3,5.60,1992 ETo Aug.pdf
4,19.2,29.6,80,3.7,12.4,28.3,5.58,1992 ETo Aug.pdf
5,19.6,26.5,80,1.7,12.4,28.3,5.15,1992 ETo Aug.pdf
6,19.9,27.5,84,1.9,12.4,28.3,5.19,1992 ETo Aug.pdf
7,19.8,29.3,81,2.3,12.4,28.3,5.47,1992 ETo Aug.pdf
