Min Temp o 0,Max Temp 0,Humidity ojo,"Wind m/s
:selected:",Sun hours,Rad MJ/m2 / day,ETo mm/ day,date
19.7,38.0,23.0,3.4,12.2,28.2,9.38,1992-04-01
20.9,37.8,24.0,3.0,12.2,28.2,8.89,1992-04-02
19.0,38.2,21.0,2.8,12.2,28.2,8.71,1992-04-03
18.7,38.0,29.0,1.2,12.2,28.3,6.43,1992-04-04
18.9,37.5,26.0,1.8,12.2,28.3,7.23,1992-04-05
20.1,38.1,31.0,2.3,12.2,28.3,7.91,1992-04-06
19.4,39.1,26.0,1.8,12.2,28.3,7.42,1992-04-07
22.4,39.8,28.0,1.6,12.2,28.3,7.28,1992-04-08
23.1,39.8,26.0,2.7,12.2,28.3,8.85,1992-04-09
24.5,40.3,32.0,2.0,12.2,28.3,7.94,1992-04-10
23.4,39.4,30.0,2.0,12.2,28.3,7.82,1992-04-11
22.7,38.9,22.0,3.2,12.2,28.4,9.47,1992-04-12
20.7,39.6,25.0,3.8,12.3,28.5,10.16,1992-04-13
19.8,38.8,24.0,3.6,12.3,28.5,9.81,1992-04-14
19.7,39.4,23.0,2.5,12.3,28.5,8.52,1992-04-15
19.6,39.3,31.0,2.9,12.3,28.5,8.83,1992-04-16
21.7,39.5,36.0,2.4,12.3,28.5,8.2,1992-04-17
24.9,38.6,45.0,1.8,12.3,28.5,7.41,1992-04-18
24.6,36.7,55.0,2.4,12.3,28.5,7.46,1992-04-19
21.5,35.6,39.0,2.8,12.3,28.5,8.01,1992-04-20
21.7,38.1,36.0,2.0,12.3,28.5,7.59,1992-04-21
21.3,38.3,34.0,1.9,12.3,28.5,7.51,1992-04-22
21.9,38.1,32.0,1.8,12.3,28.5,7.4,1992-04-23
22.2,37.9,41.0,2.3,12.3,28.5,7.81,1992-04-24
23.2,37.1,46.0,2.8,12.3,28.5,8.04,1992-04-25
23.8,35.8,45.0,2.5,12.3,28.5,7.68,1992-04-26
23.2,35.4,45.0,1.7,12.3,28.5,6.91,1992-04-27
21.9,35.1,59.0,1.8,12.3,28.5,6.68,1992-04-28
21.5,33.6,52.0,1.6,12.4,28.6,6.5,1992-04-29
20.6,35.6,48.0,2.1,12.4,28.6,7.14,1992-04-30
19.1,28.8,78.0,4.9,12.4,28.3,5.67,1992-02-01
19.2,26.8,79.0,5.0,12.4,28.3,5.33,1992-02-02
18.8,28.7,78.0,4.4,12.4,28.3,5.6,1992-02-03
19.2,29.6,80.0,3.7,12.4,28.3,5.58,1992-02-04
19.6,26.5,80.0,1.7,12.4,28.3,5.15,1992-02-05
19.9,27.5,84.0,1.9,12.4,28.3,5.19,1992-02-06
19.8,29.3,81.0,2.3,12.4,28.3,5.47,1992-02-07
20.8,26.7,85.0,1.0,12.4,28.3,5.18,1992-02-08
20.0,27.3,85.0,2.7,12.4,28.3,5.1,1992-02-09
19.9,26.5,83.0,4.0,12.4,28.3,5.05,1992-02-10
19.5,26.8,82.0,5.1,12.4,28.3,5.1,1992-02-11
19.5,25.5,82.0,5.4,12.4,28.3,4.96,1992-02-12
19.3,25.3,83.0,5.7,12.4,28.3,4.85,1992-02-13
19.1,27.8,80.0,5.8,12.3,28.3,5.43,1992-02-14
19.5,26.6,81.0,5.8,12.3,28.3,5.21,1992-02-15
19.2,28.3,80.0,6.0,12.3,28.3,5.51,1992-02-16
18.2,28.4,79.0,6.2,12.3,28.3,5.59,1992-02-17
19.2,27.9,80.0,6.2,12.3,28.3,5.47,1992-02-18
18.8,28.0,81.0,5.2,12.3,28.3,5.38,1992-02-19
19.5,28.3,81.0,5.1,12.3,28.2,5.39,1992-02-20
19.1,28.3,81.0,4.9,12.3,28.2,5.41,1992-02-21
18.8,28.9,81.0,4.3,12.3,28.2,5.46,1992-02-22
18.4,28.6,80.0,3.7,12.3,28.2,5.44,1992-02-23
17.7,30.0,79.0,3.3,12.3,28.2,5.63,1992-02-24
18.9,28.2,80.0,3.3,12.3,28.2,5.38,1992-02-25
18.9,29.5,77.0,3.8,12.3,28.2,5.7,1992-02-26
19.0,28.9,78.0,4.5,12.3,28.2,5.65,1992-02-27
19.4,28.3,79.0,4.6,12.3,28.1,5.48,1992-02-28
19.7,28.1,79.0,4.5,12.3,28.1,5.44,1992-02-29
14.8,28.1,72.0,2.7,11.2,22.2,4.39,1992-12-01
13.4,28.7,74.0,2.9,11.2,22.1,4.44,1992-12-02
16.0,28.8,77.0,2.8,11.2,22.1,4.31,1992-12-03
17.2,28.6,76.0,3.5,11.2,22.1,4.47,1992-12-04
16.9,28.7,77.0,3.2,11.2,22.0,4.39,1992-12-05
15.4,27.3,71.0,3.4,11.2,22.0,4.49,1992-12-06
13.7,27.1,72.0,3.0,11.2,22.0,4.3,1992-12-07
13.1,26.9,66.0,2.9,11.2,21.9,4.43,1992-12-08
10.9,26.6,68.0,2.9,11.2,21.9,4.35,1992-12-09
